gene name,geneId,adipose tissue,adrenal gland,appendix,bone marrow,breast,cerebral cortex,"cervix, uterine",colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,kidney,liver,lung,lymph node,ovary,pancreas,parathyroid gland,placenta,prostate,rectum,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spleen,stomach,testis,thyroid gland,tonsil,urinary bladder,max,min,std diviacija,mediana
RSPO3,ENSG00000146374,28.3,27.6,28,0,8.1,7.6,7.5,8.4,2.7,103.2,60.2,8.6,14.8,24.8,0.4,3,4.6,6.9,5.8,1.9,0.3,0.2,73.2,11.3,10.6,3.7,41.7,16.1,0.6,6.3,102.9,3.5,3.1,3.1,1.7,1.8,8.4,103.2,0,26.07008366,7.5
ARHGAP18,ENSG00000146376,23.3,48,17.7,2.7,15.9,4.5,22.8,14.5,24.7,11.2,24.4,6.5,44.6,24.2,3.8,30.2,3.2,42.3,10.5,7.6,6.9,29.7,29.5,15.9,16.3,6.2,11.8,3.7,4.2,29.9,15.2,12.3,25,15.7,38.1,7.2,13.8,48,2.7,12.15402491,15.7
TAAR2,ENSG00000146378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0.064864865,0
TAAR6,ENSG00000146383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.016216216,0
TAAR8,ENSG00000146385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,ENSG00000146386,18.8,11.6,89.6,49.6,50.9,19.7,27.5,83.6,67.4,34.1,147.3,30.3,17.6,50.2,7.1,45.5,26.8,41.6,125.8,3.2,1.4,46.6,37.5,23.4,84.3,16.1,15.5,0.9,40.8,75,30.7,91.6,29,54.3,62.5,71.5,80.1,147.3,0.9,33.63678006,40.8
TAAR1,ENSG00000146399,0,0,0,0,0,0,0,0,0.2,0.2,0,0,2.2,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0.1,0,7.8,0,0.1,0,0.2,7.8,0,1.299581323,0
SLC18B1,ENSG00000146409,14.2,12.2,11.5,4.5,17.5,37.5,17.3,12.5,19,15,11.8,13.6,20.7,23.4,3.2,15.9,3.8,11.5,12.2,11.4,2.1,25.6,29,10.4,15.9,6.9,8.6,2.6,16.5,15.5,11.3,12.9,18.6,5.2,21.7,10.8,16.4,37.5,2.1,7.352801924,12.9
MTFR2,ENSG00000146410,0.7,0.4,4.8,10.2,1.2,0.6,0.6,2.8,2.8,1,0.3,1.8,0.3,0.6,0.1,0.4,0.2,1.7,7.6,0.2,0,0.1,2.6,0.4,4.2,0.2,0.4,0.4,2.3,2.5,1.5,1.9,0.9,12.7,0.3,4.8,1.4,12.7,0,2.795498834,0.9
SLC2A12,ENSG00000146411,0.3,1.4,0.3,0,1.7,5,3.2,1,8.4,16.1,2.9,7.7,5.2,4.7,7.9,7.1,4.2,5.2,0.1,1.7,0.2,1.6,2.7,43.3,1.4,2.3,15,1.5,2.9,12.1,5.7,0.2,14.3,0.8,0.3,1.4,2.4,43.3,0,7.65725044,2.7
SHPRH,ENSG00000146414,5.5,5.5,6.3,2.8,8.8,7,8.4,4.3,4.3,12.8,7.3,4.8,8.6,7.3,2.3,6.1,2.3,6.3,8,15.1,0.8,12,6.6,8.9,5.5,2.5,7.2,1.4,11.6,5,8.5,9,5.1,14.4,14.2,5.3,5.4,15.1,0.8,3.54054673,6.3
AIG1,ENSG00000146416,53.3,46.3,14.9,23.4,50.1,70.2,26.8,22.6,56.4,28.2,53.4,39.2,64.6,48.1,36.8,134.9,153.1,30.8,15.1,49.1,7.3,35.5,21.5,46.9,25,10,40.4,9.6,23.4,60.3,27.5,33.3,18.5,35.2,93.9,15.4,42.5,153.1,7.3,30.62355162,35.5
DYNLT1,ENSG00000146425,87.5,123,117.6,35.1,152.9,68.5,171.7,131.8,116.4,163.9,184.6,140.9,273.3,144.5,88.8,165.6,53.6,128.7,82.5,100.1,9.5,100.4,124.3,164.5,153.3,39.5,168.6,33.1,54.3,145.5,250.7,99.2,89,246.6,210.9,84.9,121.9,273.3,9.5,60.38936482,123
TIAM2,ENSG00000146426,0.5,2.1,1.9,0.4,1.5,18,1.7,0.9,8.7,1.5,0.7,0.8,1.5,3.9,1.9,0.5,0.1,1,2,0.8,0.3,0.2,0.9,3.7,0.9,0.8,3.8,0.6,0.9,8.7,1.6,1.4,3,24.4,10.2,1.9,2.1,24.4,0.1,4.960158283,1.5
TMEM181,ENSG00000146433,16.7,16.4,16.4,5.7,23.5,38,41.5,22.6,24.7,24.8,11.1,14.6,15.2,26.1,6.5,8.6,7.7,18,10.8,11.1,6.9,28,21.6,32.6,27.2,21.7,29.1,2.9,19.2,31.7,25.5,18.4,34.3,40.2,35.7,7.6,23,41.5,2.9,10.25742654,21.6
PNLDC1,ENSG00000146453,0,0.1,0.2,0,0.6,0.9,0,0,0,0,0,0,2.4,0,0,0,0.1,0.2,0.1,0.2,0.1,0,0,0.1,0,0,0.1,0,0,0,0.1,0.2,0,12.2,0.1,0.2,0,12.2,0,1.995875953,0
WTAP,ENSG00000146457,78.1,76.4,101.2,177.1,95.3,63.2,87.6,55.8,43.7,112.1,90.4,60.8,83.7,96.2,32.2,54.3,29.1,82.2,103.5,82.7,11.9,79,103.2,104.6,69.4,19.9,70.7,20.6,56.4,49.7,86.4,84.2,46.3,74.3,94.8,84.7,63.8,177.1,11.9,30.79843232,78.1
ZMYM4,ENSG00000146463,14.3,15.5,17.5,8.9,21.6,22.6,27.5,12,9.4,28.1,18.9,14.6,25.2,22,7.6,14.8,6.7,18.6,17.2,27.8,3,36,25.7,25.2,13.1,5.4,19.8,5.1,13.1,10.5,21.1,20.9,13.3,63.9,32,16.1,17.1,63.9,3,10.76081344,17.2
VIP,ENSG00000146469,1.5,15.7,209.4,0,0.6,8.3,1.2,71.4,16.8,1.6,0.5,4.5,0.7,5.9,0.9,0.4,0.3,2.1,0.4,0.3,1.7,0.9,0.8,0.6,68.3,0.1,0.8,0.5,0.3,52.7,58.1,4.3,1.4,1.2,1.1,0.1,0.2,209.4,0,37.74220095,1.1
ARMT1,ENSG00000146476,17.6,19.4,19.3,3.3,29.4,15.6,22.6,15.2,17.6,24.7,18.1,12.2,18.9,16.3,10.1,40.4,17.6,26.9,22.4,13.6,1.3,13.7,29.2,18.3,17.9,3,14.4,6.2,9.7,14.9,20,16.2,12.3,24.1,42.6,15.6,19.7,42.6,1.3,8.57048974,17.6
SLC22A3,ENSG00000146477,12.3,19.3,5,0,3.3,3.7,19.1,3.3,1.6,19.3,32.7,5.8,19.6,16.8,1,6.8,18,24,17.1,17.2,0.1,0.6,61.6,69.4,2.7,20.1,70.8,5.6,9.7,3.3,37.8,0.9,2.8,4.9,1.3,4.4,4.2,70.8,0,18.1886133,5.8
VWDE,ENSG00000146530,0,0,0,0.6,1.1,0,0,0.1,0.1,0.2,1.1,0,0.7,0.3,1.1,0.1,0,0.1,0,0,0,0,0.2,0.7,0,0.8,0.6,0,0,0,0.1,0,0.4,0.1,3.9,0,0,3.9,0,0.687358459,0.1
GNA12,ENSG00000146535,19.8,16.3,15.2,6.6,8.6,30.7,16.6,7.4,5,19.3,5.7,8.5,16.3,14.7,10.3,6.7,1.9,13.5,14.7,22.2,2.4,12.3,34.5,15.1,6.7,3.3,15.9,1.7,4.3,6.7,19.5,14.5,7.1,19.2,10.7,9.3,13.7,34.5,1.7,7.379981016,12.3
C7orf50,ENSG00000146540,32.4,21.5,23.4,8.2,21.7,55.8,28.8,21.4,15.5,31.4,15.5,15.2,40.3,19.8,24,27.8,7.7,29.4,18.4,30.8,21.5,22.3,24.2,41.2,9.5,14,46.7,24.3,11.1,18.8,22.1,35,29.9,25.6,39.5,10.1,13.2,55.8,7.7,10.84726556,22.3
SDK1,ENSG00000146555,4.2,0.6,5.4,0.5,1.3,1.1,15,1.5,1,5.6,3,1.8,4.2,2.2,0.7,1.2,0,3.4,1.7,1.8,2.6,1.2,2.4,2.7,1.5,0.2,5.9,0.3,1.3,1.6,3.9,6,2,5.8,0.4,1.7,3.6,15,0,2.677787864,1.8
CCZ1B,ENSG00000146574,10.5,16.7,9.3,7.9,16,16.2,10.1,11.7,9.6,18.5,23.2,18.3,15.5,17.9,6.3,10.7,4.6,13.2,15.4,8.4,1.6,48.7,13.9,12.3,9.6,5.1,10.5,3.2,13.6,6.9,10.1,12.5,10.3,14.7,15.1,11,16,48.7,1.6,7.526115234,11.7
C7orf26,ENSG00000146576,14.7,13.1,16.3,13.7,9.3,18.3,13.8,8.8,12.6,21.3,7.9,9.7,18,14.6,5.1,8,4.1,18.5,19.6,15.2,2.9,16.5,10.4,17.8,7.7,5.9,13.7,4,16.8,10.4,16.4,25.7,11.4,15.3,15.2,10,10.9,25.7,2.9,5.135567549,13.7
RBAK,ENSG00000146587,4.9,4.5,5.9,2.4,7.2,7.2,7.2,4,4.5,8.7,5.8,5.8,6.6,6,2.4,4.8,3,6,7.6,5.9,1,14.8,6.6,7.8,5.4,1.7,6.6,1.4,7.2,5,6.6,7.2,4.7,5.4,9.3,6.2,4.8,14.8,1,2.455666811,5.9
CREB5,ENSG00000146592,12,1.7,11.1,4.1,5.2,14.2,2.7,1.6,0.9,13.3,3.4,3.9,2.4,18.6,3.4,3.1,1,5.9,1.1,0.8,0.6,0.3,5.4,1.7,1.9,0.3,1.4,1.1,1.1,1.7,6.9,8.5,0.9,1.3,2,0.7,2.8,18.6,0.3,4.406975346,2
FERD3L,ENSG00000146618,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0.091253746,0
EGFR,ENSG00000146648,31,14,5.6,0,23.3,22.3,32.4,12.5,6.1,18.8,12.6,28.3,20.3,14.5,3.2,13.2,19,22.7,2.9,20.2,3.5,4.4,100,26.8,12,9.9,21.3,2.9,58.7,7.7,14.2,7.1,9.3,8.2,35.1,7.6,11.8,100,0,17.84585446,13.2
CDCA5,ENSG00000146670,1.5,0.6,13.2,31,2.3,3.3,0.9,6.2,5.4,2.1,0.4,4.7,1.3,1.3,0.4,0.4,0.4,1.4,18.9,0.6,0.1,1,8.8,0.8,8.1,0.2,0.6,0.2,4.8,6.2,4.2,3.6,2.8,46.5,1,14.1,3.1,46.5,0.1,9.185825298,2.1
IGFBP3,ENSG00000146674,153.7,21.1,37.4,0.7,79.4,12.4,261.4,55.4,67.3,886,52.5,26,220.9,70.2,80,72.9,360.3,34.1,77.4,199.6,3,11,2671,100.7,63.5,6.4,114.9,4.8,209.5,53.1,311.1,260,76.6,21.4,46.2,60.1,358,2671,0.7,443.3851286,70.2
PURB,ENSG00000146676,12.2,10.5,14.8,8.5,14.8,24.5,16.6,8.6,7.7,18.1,9.3,12.9,13.4,12.6,4.6,10.1,4.5,13.2,12.2,12.4,1.8,22.6,19.2,17,8.4,3.5,13,3.1,17.2,8,14.5,13.7,8.5,11.2,19.6,9.7,9.5,24.5,1.8,5.184415034,12.2
IGFBP1,ENSG00000146678,0.3,0,0,0,2.6,0.4,0,0,0.2,120.4,0.1,0,6,0.5,0.2,1.4,563,0.1,0.1,4.3,0.1,0,265.8,0,0.1,0.1,0,0,0,0.3,0,0,0.1,0.2,0.5,0,0,563,0,100.930377,0.1
SSC4D,ENSG00000146700,0.4,0.1,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,1.4,0,0,0,0.3,0.3,4.2,0,0,0,0.4,0,0,0,0,0,0,0,0,2,0,0,4.2,0,0.767662727,0
MDH2,ENSG00000146701,69.2,112.8,65.9,43.8,57.6,105.7,67.7,89.8,109.7,63,41.5,113.8,99.3,58.3,157.8,83.5,58.7,59.4,68.6,65.3,19.7,83,63.1,90,85.8,39.8,78.4,233.2,96,100.6,85.1,57.9,63.1,70.1,91.5,58.8,68.4,233.2,19.7,35.82263262,69.2
POMZP3,ENSG00000146707,4.4,3.6,4.8,4.4,5.2,7.7,6.2,2.7,2.5,7,5.6,3.9,4.1,3.5,2.2,4.4,1.2,5.3,3.9,6.1,0.9,3.2,2.7,5.4,3.8,1.8,6.2,4.9,6,3.4,9.3,3.6,3.4,13.7,6.2,3.3,3.3,13.7,0.9,2.317242511,4.1
GBAS,ENSG00000146729,66.1,91.7,34.1,24.1,73.1,67.8,68.3,48.2,31.5,68.4,44.3,54.2,81,43.2,173.8,67.2,7.3,54.9,29.8,42.3,10.3,69,44.1,85.5,59.1,33.2,78,224.4,24.1,35.9,67.9,35.8,42.3,37.8,144.7,26.1,49.6,224.4,7.3,42.11610409,49.6
CCT6A,ENSG00000146731,63.3,71.2,84.3,38.5,68.2,81.8,60.5,48.3,49.9,77.1,43.1,63.5,76.4,58.8,34.4,71.5,25.5,54.5,74.9,43.7,10.1,120.3,75.7,67.6,62.3,15.6,64.4,30,64.2,53.6,83.5,59,43.6,85.9,77.5,68.7,58.2,120.3,10.1,21.17357429,63.3
PSPH,ENSG00000146733,5.2,10.1,5.1,2.2,3.9,12.5,4.1,4.9,4.1,6.6,5.8,6.1,25.3,8.9,5.1,9.3,3,3.9,5.6,9.7,1.4,7.1,5.4,10.1,4.3,1.7,9,1.5,4.6,4.1,7.2,4.8,4.9,10.4,11.9,4.8,5.1,25.3,1.4,4.210163708,5.1
TRIM50,ENSG00000146755,0.3,0.1,0,0,0,0,0,0.1,1.1,0.1,0,0.1,0.2,0.1,0,1.7,0,0.1,0,0,1,0.4,0.5,0,0,0,0,0.5,0,1,0,0.3,10.4,4.6,0,0,0.1,10.4,0,1.819141788,0.1
ZNF92,ENSG00000146757,3,5.8,7.3,10.2,13.2,10.4,7.7,4.1,4,5.9,5.5,6.1,5.5,6.4,1.9,3.8,1.6,4.8,12.6,6.8,0.7,7.7,5.4,5.8,4.9,1.1,4.7,0.9,3.8,4.9,3.6,9.2,4.8,9.6,10.1,8.8,6.5,13.2,0.7,3.043924843,5.5
ATXN7L1,ENSG00000146776,5.3,4.4,5.8,2.9,5.3,6.7,9.6,4,4.1,7.6,5.2,4.4,9.4,6.7,1.5,7.5,2.9,5.9,7.3,7.9,0.6,8.7,8.1,7.6,6.4,2.4,5.3,0.7,6.8,5.5,6.1,7.8,4.6,16.4,7.8,5.3,5,16.4,0.6,2.816078743,5.8
TMEM168,ENSG00000146802,14.8,13.6,16.8,4.2,19.3,10.2,18,22.1,13.8,21.9,21.8,14.1,16.7,19.4,8.1,14.1,4.3,18.2,13,14.5,1.4,44.3,20.5,26.6,27,8.6,18.7,3.3,31.7,16.4,22.5,17,12,18.8,29.6,10.3,13.2,44.3,1.4,8.299108879,16.7
ASB15,ENSG00000146809,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,19.2,7.5,0,0,0,0,0,0,0.1,0.3,0,0,0,43.9,0,0,0,0,0,4.5,0,0,0,43.9,0,7.737051909,0
C7orf43,ENSG00000146826,6.8,10.1,22.2,7.7,6.3,16.9,6.3,12.2,14.3,9.4,7.8,9.4,9.1,11.1,3.3,5,2.3,10.7,23.7,4,2.1,24.7,10.5,10.1,12.5,5.2,12,1.7,29.5,13.6,8.4,23.1,12.4,33.1,11.7,11.4,8.5,33.1,1.7,7.396181867,10.1
SLC12A9,ENSG00000146828,8.3,4.9,12.1,4.8,5,8.1,9.1,8.1,7.9,6.4,1.1,8,10,14.8,2.2,6.8,2.3,12.1,7.9,4.9,2.2,12,20.2,8.6,6.1,3.3,9.3,0.7,8.9,9.4,9.2,13.7,6.5,3.7,9.7,3.3,8.3,20.2,0.7,4.014919219,8
GIGYF1,ENSG00000146830,15.7,18.9,19.7,18.8,11.9,18.5,14,8.2,15.1,35.8,13.2,8,19.9,15.7,7.7,8,2.9,17.5,20.8,31,4.4,23.9,15.8,18.7,8.6,10.6,18.6,8.7,34.5,17,16.2,30.6,14.4,32.1,14.2,10.2,8.8,35.8,2.9,8.054665313,15.7
TRIM4,ENSG00000146833,19,28.3,23,6.3,32.9,20.2,25.8,16.9,17.7,39.3,24.2,15.6,37.1,23.9,5.2,21.6,11.6,27.6,25.9,50.6,5,35.9,29.2,37.4,21,8.1,28.3,1.7,26.4,20.6,29.8,29.3,18.8,30,41,21.6,22.1,50.6,1.7,10.63293188,23.9
MEPCE,ENSG00000146834,22.9,39.5,25.7,17.6,23.7,30.7,28.7,15.3,18.6,33.4,33.7,20.2,37.8,30.1,10.8,22.2,9.8,26.5,32.6,44.1,3.8,64.2,29.8,26.9,14.1,10.2,29.2,10.2,40.7,18.5,26.6,51.3,13.5,87.8,54.9,22.1,20.3,87.8,3.8,16.30724272,26.5
ZAN,ENSG00000146839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.081081081,0
TMEM209,ENSG00000146842,9.8,19.9,11.1,6,13,15.6,11.1,10.8,9.2,17.8,11.3,6,15.4,10.3,4.1,9.2,5.2,13.7,13.6,12.7,1.7,25.3,13.4,13.4,12.1,3.2,11.7,1.7,8.4,12,13.3,14.4,7.5,27.5,26.7,10.9,9.7,27.5,1.7,5.946588417,11.3
AGBL3,ENSG00000146856,1,1.2,3.1,1.4,2.9,1.6,1.3,1.2,0.8,4.8,9.6,0.2,2.9,1.1,0.5,1.8,0.3,2.9,2.7,4.3,0.5,0.4,1.4,3.1,1.7,1.1,3,0.8,3,2.2,2.5,5.1,2.2,9.3,4.7,0.8,0,9.6,0,2.148582355,1.7
STRA8,ENSG00000146857,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0.6,0,0,0,0,1.6,0,0,0,1.6,0,0.27852266,0
ZC3HAV1L,ENSG00000146858,3.6,5,3.6,0.9,4.2,1.5,5.2,2.3,3.4,11.5,2.8,4.9,8.2,5.3,1.8,3.3,0.4,3.9,3.1,11.6,0.3,5.2,13.8,6.5,3.6,1.1,6,0.6,10.8,3,7.9,6.5,2.7,4,14.2,2.9,3.6,14.2,0.3,3.555166818,3.6
TMEM140,ENSG00000146859,29.3,19.9,26.3,7,10.3,14,13.9,11.5,17.9,19.1,9.2,10.2,14,29.7,13.3,22.3,25.2,36.7,22.4,18.6,3.1,5.8,30.6,13,9.1,7.5,14.5,12.1,7.8,19.2,15.8,38.1,11.9,9.3,11.6,8.3,20.4,38.1,3.1,8.51201188,14
TLK2,ENSG00000146872,21.8,22,28.3,22.7,14.2,47.8,18.5,21,20.4,38.4,10.5,25.8,21.2,32.6,14.7,16.6,6.4,23.9,29.3,26.3,3.6,23.7,24.8,25.5,16,6.8,15.6,11.2,27.8,22.7,23.4,29,17.5,96.2,49.8,15.6,26.8,96.2,3.6,15.38148831,22.7
EPHA1,ENSG00000146904,0.1,0.1,3.3,0.4,3.9,0,3.2,3.8,16.5,1,3,36.2,10.7,4.6,0,2.2,5.6,3.8,4.5,0,1,877.3,1.7,3.3,3.4,1.9,3.4,0,24.8,11.5,0.5,1.2,7.2,2,5.4,6.4,3,877.3,0,141.6353067,3.3
NOM1,ENSG00000146909,5.7,4.8,6.3,4.4,5.3,4.7,3.9,3.4,3.5,6.6,4.1,4.3,5,4.3,1.7,3.2,2.2,5.1,6.8,5.1,0.8,6.7,5.9,5.2,4.2,1.3,4.3,2.6,7.4,3.7,6.8,6.2,3.4,7.5,4.8,4.7,3.6,7.5,0.8,1.617946285,4.7
CNPY1,ENSG00000146910,0.1,0.1,0.1,0.2,0,0.4,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.2,0,0,0,0.1,0.2,0.2,0.7,0,0.1,0.1,0.1,0,0,0,0.6,0.3,0.1,0.1,0.1,1.8,0.3,0,0,1.8,0,0.312603526,0.1
NCAPG2,ENSG00000146918,4.3,3.4,12.1,15.3,6.8,5.8,6.4,7,4.5,7.4,2.7,6.9,4.9,4.7,1.9,2.9,2.2,4.8,15.1,3.9,0.4,9.7,8.6,4.7,8.7,1.2,4,1.2,8.2,6.7,7.1,6,5.4,27.7,5.6,12.9,5.5,27.7,0.4,4.942491779,5.6
ASB10,ENSG00000146926,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,3.3,0,0,0,0,0,0,0,0,0.6,0,0,0,27.9,0,0,0,0,0,0.1,0,0,0,27.9,0,4.53678094,0
NLGN4X,ENSG00000146938,3.2,1.7,2.1,0,2.5,20.1,6.7,1.9,1.2,3.6,0.5,0.7,2.7,3.6,1.6,0.3,0.6,1.3,0.9,12.9,0,12.8,3.5,1.7,2.1,0.3,2.7,0.1,0.7,2,4.8,2.9,1,3,0.5,0.4,2.6,20.1,0,4.044390284,1.9
SHROOM2,ENSG00000146950,0.3,2.1,0.5,0,1.3,11.8,3.2,1.5,0.7,2.5,3.4,2.9,2.6,4.9,0.2,2.7,2,3.8,0.3,8.5,0.7,4.1,11,8.5,1.5,1.3,3.7,0,4.9,0.6,1.2,0.9,1.1,5.6,2.3,1.2,3.8,11.8,0,2.891682235,2.1
RAB19,ENSG00000146955,0.1,0,1.6,3.5,1,0,0.5,3.6,3,0.4,0.5,0.2,1.7,1.2,0,2.3,0.1,1.2,1.4,0,0.5,6.2,0.6,1.3,3.9,0.3,0.5,0,0.1,3.1,0.4,0.6,1.8,0.1,5.6,1,1.7,6.2,0,1.549825033,0.6
LUC7L2,ENSG00000146963,31,35.3,40.8,50.2,57.6,43.6,55.2,29.4,26.1,66.1,47.3,38.4,55.2,52,20.3,35.3,16.3,45.6,57,55,3.8,83.5,52.3,64.7,38.4,11.9,51,14.1,57.6,26.7,52.4,48.3,23.8,56.1,100.7,48.9,40.4,100.7,3.8,19.18078308,47.3
DENND2A,ENSG00000146966,13.5,5.1,3.2,0.5,6.6,21.2,29.9,5.9,3.8,31.6,6.3,10,28,15.9,5.9,6.3,1.4,17.7,2.4,23.9,0.4,7,20.6,11.4,5.9,1,7.2,2.4,2.1,5.5,22.1,13.1,3.7,3.9,3.8,1.4,10.9,31.6,0.4,8.730990621,6.3
TMEM27,ENSG00000147003,0.4,1,0,0.1,2.2,0.8,1.2,0.5,1.2,2.1,3.1,0.6,3.5,5.1,0.6,422,25.6,2.2,0.4,3.5,0.9,26.6,0.7,2.2,0.3,0.3,1.6,0,1.2,0.5,0.5,0.3,10.4,2,6.2,0.2,0.5,422,0,68.19735412,1
SH3KBP1,ENSG00000147010,50.4,14.5,60.9,44.8,17.1,40.1,28.1,36.9,13.7,17.9,13.8,9.4,19.6,33.4,13.2,14.3,8,38.8,79.5,10.9,1.4,37.7,46.9,10.9,38.7,4.7,10.2,4.5,20.6,20.4,21.6,50.8,17.6,11,34.5,62.9,24.1,79.5,1.4,18.35461182,20.4
TMEM47,ENSG00000147027,43.4,26.8,11.6,0,18,54.7,70.6,14.6,8.6,75.5,40.5,39.1,57.3,45.2,23.3,29.4,12.5,33.2,7,27.1,2.3,5.9,1.6,53.6,16.4,12.3,63.5,8.3,4.1,10.6,73.9,10.4,11.5,9.4,33.9,3.8,46.9,75.5,0,22.23480087,18
LANCL3,ENSG00000147036,0.1,0.3,0.1,0.2,0.1,0.8,0.3,1,0.2,0.2,0.1,1.3,0.1,0.4,0.1,0.1,0,0.5,0.1,0,0,0,0,0.2,0.8,0,0.3,0.1,0.8,0.3,0.3,0,0.6,0.5,0.2,0.3,0.6,1.3,0,0.309739635,0.2
SYTL5,ENSG00000147041,0,6.5,0.4,0,3.3,3,8.9,2.8,2.3,4,0.9,1.4,0.6,0.9,0.7,0.7,2.2,1,0,0.1,1.2,0,10.6,1.4,3.4,0.6,0.6,0,0,2.7,5.1,0,11.8,1.3,0,0,1.6,11.8,0,2.909755386,1
CASK,ENSG00000147044,9.3,11.9,12.6,1.4,17.5,28.6,16.9,23.3,32.6,17.6,11.2,13.8,15.8,23.5,3.4,17,6.5,16.1,10.6,15.1,2.4,19.6,19.1,16.4,29.2,5.3,11.1,1.3,11.1,34.5,16.6,13,17.5,5.7,15.9,8.4,14.7,34.5,1.3,7.999657589,15.1
KDM6A,ENSG00000147050,12.5,15.5,16.6,41,30.2,12,22.3,13.6,15.3,29.2,15,10.8,22.2,18.8,5.2,13.8,7.7,18.5,22.2,22.8,2.9,37.7,15.3,17.9,13.8,8.4,14.1,4.5,24.9,13.7,20.8,21.1,16.1,23.5,27.4,14.9,8.4,41,2.9,8.321723883,15.5
SPIN2A,ENSG00000147059,0.6,0.7,1.2,0.1,0.8,1.6,1.2,0.5,0.7,1.3,0.4,0.4,0.9,1,0.3,0.3,0.1,0.9,1.4,1.3,0.1,1,0.7,1.1,0.8,0.3,0.9,0.1,1.5,0.5,1.2,1.4,0.7,0.7,0.7,0.7,0.7,1.6,0.1,0.414034295,0.7
MSN,ENSG00000147065,252.8,98.3,356,172.6,91.1,63.6,176.6,70.9,44.2,224.7,55,98.2,139.8,195.6,74.7,145.1,47.9,420.9,241.6,114.9,8.7,58.8,217.4,110.9,87.9,24.8,176.5,17.8,107.9,61.7,365,276.2,54.1,42.7,255.4,221.9,141.9,420.9,8.7,101.7702404,110.9
AKAP4,ENSG00000147081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.5,0,0,0,279.5,0,45.32432432,0
CCNB3,ENSG00000147082,0.2,0.1,0,0,0.3,0.7,0.1,0.1,0,0,5.8,0,0.3,0.2,0,0.2,0.2,0.2,0.1,0.1,0,0.3,0,0.2,0.1,0,0.3,0,0.4,0,0,0.2,0.3,7.9,0.5,0.1,0.1,7.9,0,1.542227621,0.1
HDAC8,ENSG00000147099,9.3,20.8,11.7,6.2,12.5,15.6,14.7,8.7,7.2,13.8,27.1,8.2,12.2,12.2,7,14.6,8,12.8,10.2,12.2,1.7,17.2,13.5,17.1,11.4,4.5,11.1,3,9.2,7.2,15.7,9.6,8.5,5.7,20.5,9.4,10.3,27.1,1.7,5.039093336,11.1
SLC16A2,ENSG00000147100,13.9,24,6.2,0,2.6,15,8.8,1.8,3.2,11.8,1.9,1.8,8.7,8.7,3.1,8.3,20.5,4.8,0.9,14.8,1.1,14.5,12.4,9.2,1.8,2.1,7.5,0.9,0.9,2.4,9.2,1.6,2.8,1.4,19.5,1.5,4,24,0,6.255574577,4
CXorf36,ENSG00000147113,36.3,3.6,8.1,0.5,10,5.4,19.9,3.7,2.6,26.5,8.4,6.9,18.2,13.7,10.3,2.4,0.7,16.5,6.2,4.4,0.4,7.5,58.4,8.5,4.2,1.2,9.9,5.8,6.7,3,30.4,1.2,1.8,3,14.6,3.1,13.4,58.4,0.4,11.57630385,6.7
ZNF157,ENSG00000147117,0.1,0.2,0.2,0.1,0.2,1,0.4,0.1,0.1,0.5,1.8,0.2,2.1,0.2,0,0.3,0,0.2,0.7,0.5,0,1.3,0,0.4,0.1,0,0.4,0,0.2,0.1,0.4,0.3,0.1,0.7,0.9,0.3,0.1,2.1,0,0.477897147,0.2
ZNF182,ENSG00000147118,2.6,4.4,5.2,3.2,5.4,4.4,5.4,2.8,2.9,6.6,5.6,2.3,5.3,5.1,1.6,3.6,1.6,5.3,7.6,5.8,0.6,8.4,4.9,5.1,3.8,1.2,5,0.8,4.4,2.8,4.4,8.3,3.5,4.4,9.2,5.7,4.1,9.2,0.6,2.026468391,4.4
